age,income,loan_amount,loan_term,credit_score,employment_type,marital_status,property_area,existing_loans,loan_purpose,fraud
24,93400,1359151,84,630,Salaried,Single,Urban,3,Business,0
43,163821,870831,36,840,Salaried,Single,Rural,4,Personal,0
56,24882,1377154,240,805,Salaried,Single,Urban,2,Education,1
32,55552,1287661,240,655,Salaried,Single,Urban,4,Business,1
50,107363,430111,84,609,Self-employed,Single,Rural,1,Business,0
24,39386,670641,120,788,Salaried,Married,Urban,1,Personal,0
48,47069,694010,240,797,Self-employed,Married,Urban,3,Personal,0
34,97015,542989,60,841,Salaried,Married,Urban,3,Vehicle,0
45,157613,582577,180,736,Business,Married,Urban,5,Home,0
50,38411,756535,180,669,Self-employed,Married,Urban,3,Home,0
60,138611,858860,36,673,Business,Single,Urban,3,Personal,0
40,107001,564670,84,848,Salaried,Single,Semiurban,1,Education,0
30,79936,315596,60,581,Salaried,Single,Semiurban,5,Home,1
52,139622,1282238,180,679,Self-employed,Married,Rural,5,Education,0
25,140924,1027377,240,605,Business,Single,Urban,0,Education,0
23,32913,873298,84,489,Self-employed,Single,Semiurban,4,Vehicle,1
56,28753,1043159,180,783,Salaried,Married,Semiurban,0,Vehicle,1
42,40106,1158115,240,538,Salaried,Married,Rural,4,Personal,1
44,115740,693270,120,659,Business,Single,Semiurban,5,Education,0
27,164266,910683,84,579,Self-employed,Single,Urban,4,Business,0
46,51803,1347891,240,493,Salaried,Married,Semiurban,2,Business,0
54,42498,1454812,240,666,Salaried,Single,Urban,1,Business,0
52,68333,575095,60,529,Salaried,Single,Semiurban,4,Personal,1
42,52353,1352516,120,528,Salaried,Single,Semiurban,0,Vehicle,1
36,134444,1380511,84,835,Self-employed,Married,Urban,1,Education,0
51,68860,871418,240,742,Unemployed,Married,Semiurban,3,Personal,0
33,176508,390242,84,476,Self-employed,Married,Semiurban,0,Personal,0
39,39987,436199,84,680,Unemployed,Single,Rural,0,Business,0
43,24991,970101,36,652,Salaried,Single,Urban,0,Education,1
41,43974,1463066,84,524,Salaried,Married,Rural,3,Business,1
51,135598,1390478,36,490,Salaried,Single,Rural,4,Personal,0
39,80295,731559,36,474,Salaried,Married,Urban,3,Personal,0
57,81422,401102,84,669,Salaried,Married,Urban,3,Business,0
26,155228,856240,36,719,Salaried,Single,Urban,3,Home,0
44,84492,134062,84,484,Salaried,Single,Semiurban,5,Education,1
43,161134,809985,240,539,Business,Married,Rural,3,Business,0
50,27695,715393,60,472,Business,Single,Urban,2,Personal,1
55,142098,631237,36,835,Self-employed,Married,Urban,0,Education,0
44,132544,938906,240,675,Business,Married,Urban,1,Vehicle,0
44,154125,659353,36,822,Salaried,Married,Semiurban,1,Personal,0
27,38989,787697,240,601,Salaried,Married,Urban,3,Education,1
43,179179,1012136,84,777,Unemployed,Single,Urban,5,Vehicle,1
31,26163,399430,180,797,Business,Single,Urban,1,Education,1
57,26489,1368975,60,797,Salaried,Married,Urban,0,Personal,1
44,122342,759314,240,592,Salaried,Single,Urban,1,Vehicle,0
56,48870,648985,84,810,Salaried,Married,Semiurban,3,Business,0
25,136500,462086,240,677,Unemployed,Married,Semiurban,5,Home,0
40,59289,1437353,60,635,Salaried,Single,Rural,1,Business,0
22,112606,1261867,180,638,Salaried,Single,Semiurban,0,Home,0
51,155807,961499,120,744,Salaried,Married,Semiurban,3,Vehicle,0
43,51642,1256167,240,750,Salaried,Single,Urban,0,Home,0
40,61163,439669,84,813,Salaried,Married,Rural,2,Business,0
56,89945,362501,240,605,Self-employed,Single,Semiurban,1,Personal,0
30,62879,1481462,180,818,Unemployed,Married,Rural,4,Home,1
22,39292,195340,240,844,Self-employed,Single,Semiurban,3,Personal,0
52,161019,707485,240,604,Salaried,Married,Urban,0,Home,0
47,144943,1074005,60,624,Self-employed,Married,Rural,2,Education,0
29,115134,1179991,180,504,Salaried,Married,Urban,3,Business,1
24,94077,905620,180,664,Salaried,Single,Rural,4,Education,0
31,148617,1179456,120,705,Business,Married,Urban,3,Personal,0
36,74398,1323361,84,474,Salaried,Married,Semiurban,5,Vehicle,1
21,46179,1003721,60,585,Self-employed,Married,Urban,3,Home,1
33,113033,1260192,84,487,Salaried,Married,Semiurban,2,Personal,0
28,51728,302755,120,641,Business,Married,Semiurban,2,Business,0
53,123221,1148739,36,473,Salaried,Married,Rural,4,Vehicle,1
53,54642,787794,180,613,Salaried,Married,Semiurban,4,Personal,0
40,142490,134890,84,619,Self-employed,Married,Semiurban,5,Home,0
58,169423,577192,240,476,Self-employed,Single,Semiurban,5,Personal,0
36,26276,1300766,240,506,Salaried,Married,Urban,1,Vehicle,1
47,149548,1382362,120,826,Self-employed,Single,Semiurban,4,Education,0
51,155750,890258,84,538,Salaried,Married,Semiurban,5,Education,0
36,91139,1270392,84,565,Unemployed,Married,Semiurban,5,Business,1
52,101110,1106220,84,736,Unemployed,Married,Urban,4,Personal,1
46,108474,407182,84,471,Salaried,Single,Urban,3,Education,0
55,89075,1278637,240,589,Salaried,Single,Urban,5,Personal,1
35,31760,310130,120,619,Self-employed,Single,Semiurban,1,Home,0
31,124668,1469215,120,694,Self-employed,Married,Urban,5,Home,0
26,168505,587001,180,828,Self-employed,Single,Rural,1,Vehicle,0
32,27526,932557,120,545,Unemployed,Married,Rural,0,Education,1
27,105829,696769,120,778,Salaried,Married,Rural,1,Personal,0
33,47529,793494,60,824,Salaried,Married,Semiurban,0,Education,0
57,68636,468039,180,777,Business,Married,Semiurban,0,Vehicle,0
32,54860,1101293,84,577,Salaried,Married,Urban,2,Education,1
57,20997,648516,240,634,Self-employed,Single,Semiurban,3,Education,1
53,99521,346238,240,601,Salaried,Single,Urban,1,Vehicle,0
59,115943,972091,240,731,Unemployed,Single,Semiurban,5,Personal,0
49,156457,858717,36,738,Salaried,Single,Semiurban,1,Business,0
54,133825,343772,240,555,Self-employed,Married,Urban,4,Vehicle,0
53,126901,1057975,180,479,Self-employed,Married,Semiurban,3,Education,0
58,37144,194979,120,626,Self-employed,Single,Rural,0,Vehicle,0
47,65181,384014,240,823,Self-employed,Married,Urban,3,Vehicle,0
45,116473,268296,240,788,Business,Single,Semiurban,2,Home,0
55,121037,1209063,60,822,Unemployed,Single,Semiurban,2,Vehicle,0
55,129182,1215545,120,567,Salaried,Married,Urban,1,Home,0
47,179198,132811,60,555,Salaried,Single,Urban,5,Home,1
23,123451,1020571,60,726,Salaried,Single,Urban,2,Business,0
57,101598,1311052,180,845,Self-employed,Married,Urban,1,Personal,0
40,90129,227837,180,752,Business,Single,Semiurban,3,Personal,0
43,117917,1199878,84,806,Salaried,Single,Urban,1,Personal,0
35,96836,402727,120,479,Self-employed,Married,Semiurban,1,Vehicle,0
34,104576,1456240,36,680,Business,Single,Semiurban,1,Home,0
59,176052,182937,36,546,Business,Single,Urban,2,Education,0
21,73524,498508,240,510,Self-employed,Married,Rural,5,Personal,0
36,162724,774475,84,644,Salaried,Married,Urban,2,Personal,0
50,43849,1084592,84,554,Salaried,Married,Urban,1,Business,1
56,171100,1314550,240,663,Salaried,Single,Urban,3,Personal,0
52,162347,1472812,240,622,Salaried,Married,Rural,5,Vehicle,0
43,62371,393514,240,729,Salaried,Single,Semiurban,0,Home,0
47,54042,1422677,60,484,Self-employed,Single,Urban,3,Education,1
60,144669,1482619,120,458,Salaried,Married,Urban,4,Education,0
53,130872,475949,36,499,Salaried,Single,Urban,4,Education,0
46,38714,882345,120,685,Self-employed,Single,Urban,0,Home,0
45,116872,1259098,120,478,Self-employed,Single,Urban,3,Education,0
27,156453,189237,60,558,Unemployed,Married,Urban,0,Education,0
23,65016,759522,36,556,Self-employed,Married,Rural,2,Business,0
57,120015,1233641,84,646,Business,Single,Semiurban,5,Home,0
43,32076,304861,120,568,Business,Married,Semiurban,4,Personal,1
41,25766,1429852,84,680,Salaried,Married,Semiurban,3,Vehicle,1
58,117633,279713,180,601,Business,Single,Urban,1,Vehicle,0
30,120137,764122,84,504,Salaried,Married,Urban,2,Home,0
32,130978,1041293,180,734,Salaried,Single,Urban,2,Personal,0
59,103047,907902,36,599,Salaried,Single,Semiurban,4,Business,0
45,62433,391168,84,604,Salaried,Single,Urban,3,Education,1
51,38164,857333,84,576,Self-employed,Married,Semiurban,1,Vehicle,1
40,19774,929826,84,767,Salaried,Married,Urban,3,Personal,1
41,176128,521216,120,610,Salaried,Married,Rural,2,Vehicle,0
36,103429,888645,84,651,Salaried,Single,Semiurban,4,Business,0
56,25055,1068091,240,557,Salaried,Married,Rural,0,Vehicle,1
29,97385,607555,84,787,Salaried,Married,Semiurban,0,Vehicle,0
51,170631,940549,180,709,Unemployed,Married,Semiurban,2,Personal,0
26,46670,620578,240,790,Salaried,Single,Semiurban,5,Vehicle,0
42,130841,322181,36,500,Salaried,Single,Urban,3,Vehicle,0
53,57516,823449,36,697,Salaried,Married,Rural,0,Home,0
30,109312,754081,84,683,Business,Married,Urban,0,Vehicle,0
49,101600,240874,84,472,Business,Single,Urban,2,Home,0
31,81940,1182117,60,732,Salaried,Married,Rural,1,Vehicle,0
32,131281,929596,36,827,Self-employed,Single,Urban,3,Vehicle,1
34,71945,683731,240,482,Self-employed,Single,Urban,1,Vehicle,0
52,156337,1440307,84,755,Salaried,Married,Semiurban,2,Education,0
60,63227,723787,180,752,Salaried,Single,Urban,1,Education,0
44,55056,1171277,120,664,Self-employed,Married,Urban,3,Personal,0
32,163467,449942,120,597,Salaried,Married,Rural,4,Home,0
52,53791,509214,120,737,Salaried,Married,Urban,3,Vehicle,0
49,146109,450755,36,739,Salaried,Single,Urban,2,Business,0
31,137884,1286254,240,845,Business,Single,Semiurban,2,Personal,0
44,160093,187263,240,675,Salaried,Married,Urban,5,Business,0
23,135894,651163,84,494,Salaried,Single,Semiurban,1,Business,0
58,109915,1379811,240,669,Salaried,Single,Semiurban,1,Home,0
55,91684,1351701,180,536,Salaried,Married,Urban,2,Personal,0
27,53543,963179,36,591,Business,Single,Semiurban,1,Business,1
41,82894,923553,120,522,Self-employed,Married,Semiurban,3,Vehicle,1
26,123604,1181319,240,592,Self-employed,Married,Urban,3,Education,0
26,138179,1431357,240,807,Salaried,Single,Semiurban,3,Business,0
34,147686,663162,84,595,Salaried,Single,Semiurban,3,Education,0
23,44102,1413193,120,458,Salaried,Single,Urban,0,Vehicle,1
29,97132,433399,84,497,Self-employed,Married,Urban,5,Business,1
40,79379,1000162,240,496,Self-employed,Single,Urban,0,Business,0
54,134671,119476,36,806,Salaried,Single,Rural,3,Business,0
35,118419,287340,240,502,Salaried,Married,Rural,1,Vehicle,0
29,55448,243469,180,738,Salaried,Single,Urban,5,Business,0
30,125927,1392005,240,676,Business,Single,Rural,1,Home,0
45,110152,1000493,84,521,Salaried,Single,Urban,4,Personal,0
22,97075,530850,180,760,Salaried,Married,Urban,0,Business,0
28,81198,1147700,240,754,Salaried,Single,Rural,2,Business,0
57,128326,866325,180,799,Salaried,Married,Rural,0,Home,0
21,86730,552445,36,480,Unemployed,Married,Semiurban,5,Personal,1
48,123454,272863,240,724,Salaried,Single,Urban,2,Home,0
34,58731,1224891,84,650,Self-employed,Single,Urban,3,Business,1
26,131897,343241,120,763,Self-employed,Married,Semiurban,5,Business,0
29,20975,443581,120,627,Salaried,Married,Urban,1,Education,0
22,105821,1000358,84,718,Salaried,Single,Urban,4,Education,0
57,61746,871097,60,580,Business,Single,Urban,4,Home,1
21,82107,196430,120,636,Salaried,Single,Urban,0,Personal,0
47,76855,774867,60,663,Unemployed,Married,Urban,0,Personal,0
53,31807,476112,60,714,Unemployed,Married,Urban,3,Education,1
40,103799,281163,180,683,Salaried,Single,Urban,2,Personal,0
44,173108,1134652,60,825,Unemployed,Single,Urban,3,Home,1
43,20515,802582,36,838,Self-employed,Married,Urban,4,Business,1
24,55322,686836,36,472,Unemployed,Married,Semiurban,2,Vehicle,0
27,150494,379998,240,651,Salaried,Single,Urban,1,Business,0
41,121010,784199,84,681,Salaried,Single,Rural,1,Personal,0
27,61089,1042809,120,610,Salaried,Married,Rural,1,Vehicle,1
37,49434,289626,60,801,Salaried,Single,Urban,2,Business,0
36,111255,930984,180,475,Self-employed,Married,Rural,1,Home,0
49,163739,1253687,60,498,Salaried,Single,Urban,0,Business,0
46,115580,1421829,240,493,Self-employed,Married,Rural,0,Home,0
33,134242,370095,36,619,Salaried,Married,Urban,4,Vehicle,0
22,118330,994779,60,631,Salaried,Single,Urban,3,Business,0
60,179736,615448,240,601,Salaried,Married,Urban,2,Vehicle,0
33,155839,622500,240,728,Business,Married,Semiurban,2,Vehicle,0
52,108186,1286256,180,614,Salaried,Single,Urban,4,Business,1
38,33359,1089193,180,633,Business,Single,Rural,0,Business,0
24,75517,1307313,120,631,Unemployed,Single,Urban,4,Education,1
43,173074,159153,240,808,Salaried,Single,Semiurban,1,Vehicle,0
32,146564,179615,36,478,Salaried,Single,Urban,3,Home,1
60,70812,373656,84,817,Salaried,Married,Urban,1,Personal,0
30,47077,1203720,84,487,Salaried,Married,Semiurban,2,Education,1
31,132522,1440637,120,782,Salaried,Married,Urban,4,Business,0
39,51383,472681,240,450,Unemployed,Married,Rural,4,Home,1
41,178269,563250,240,739,Salaried,Married,Urban,5,Home,0
41,62010,1434180,36,812,Self-employed,Married,Urban,2,Business,0
25,109876,638250,36,818,Salaried,Married,Urban,3,Business,0
52,117277,836585,180,642,Salaried,Married,Semiurban,4,Business,0
25,26758,718468,36,613,Salaried,Single,Urban,1,Vehicle,1
25,161404,295254,84,754,Unemployed,Married,Semiurban,3,Business,0
24,44544,794355,60,547,Salaried,Married,Semiurban,2,Business,1
46,167886,1252726,120,528,Salaried,Single,Urban,2,Personal,0
27,24746,534011,60,776,Salaried,Single,Urban,0,Education,0
37,41890,1446091,180,648,Salaried,Married,Urban,3,Home,1
50,87048,574464,84,738,Salaried,Single,Urban,2,Personal,0
58,77641,1260987,36,648,Business,Married,Rural,5,Vehicle,0
40,38697,927964,240,467,Salaried,Single,Urban,3,Business,1
34,68521,364631,36,666,Salaried,Married,Urban,5,Business,0
37,101820,240534,36,648,Self-employed,Married,Rural,4,Vehicle,0
21,172029,1195891,120,507,Salaried,Single,Semiurban,4,Home,0
27,92997,1223304,84,660,Salaried,Married,Semiurban,3,Home,0
46,55710,1396552,180,798,Self-employed,Single,Urban,2,Business,0
51,88407,881064,36,622,Business,Married,Urban,3,Home,0
35,53228,730153,240,676,Business,Married,Urban,3,Personal,0
33,133793,543318,120,829,Salaried,Married,Rural,4,Business,0
53,123744,384478,180,741,Salaried,Single,Rural,1,Home,0
50,31253,855761,240,551,Salaried,Married,Semiurban,5,Home,1
36,115639,1125060,180,678,Salaried,Married,Semiurban,2,Education,0
37,41695,697833,36,647,Salaried,Single,Rural,5,Business,0
47,152553,142052,240,454,Salaried,Single,Semiurban,4,Home,1
59,98074,1447924,84,666,Business,Married,Urban,1,Vehicle,0
54,122111,1325758,36,453,Salaried,Married,Semiurban,4,Personal,1
27,144284,233876,84,591,Self-employed,Married,Urban,5,Education,1
54,80993,219065,180,656,Self-employed,Single,Semiurban,5,Vehicle,0
37,127724,948505,120,827,Salaried,Single,Urban,5,Business,0
51,111977,1163916,84,537,Business,Single,Urban,3,Business,0
56,65990,803872,240,495,Salaried,Single,Semiurban,2,Vehicle,0
42,115434,646432,180,600,Salaried,Single,Urban,5,Personal,0
51,68998,1149577,36,798,Salaried,Married,Urban,1,Business,0
42,125267,1294125,120,523,Salaried,Single,Semiurban,3,Education,0
24,19235,1048024,84,557,Business,Single,Semiurban,1,Vehicle,1
26,51922,1388657,120,774,Salaried,Married,Rural,3,Home,1
33,115806,129521,84,837,Business,Single,Urban,0,Business,0
43,99813,370387,36,646,Salaried,Married,Urban,0,Education,0
50,154390,1350678,180,622,Salaried,Single,Urban,3,Education,0
31,123746,140107,60,564,Self-employed,Single,Urban,0,Personal,0
28,114099,1464282,36,642,Business,Married,Semiurban,4,Home,0
24,46341,1470630,36,474,Self-employed,Married,Urban,0,Personal,1
30,71869,1421858,36,604,Salaried,Single,Semiurban,2,Personal,0
27,152108,1395406,36,594,Salaried,Single,Urban,4,Business,0
33,111827,959321,84,532,Salaried,Married,Rural,5,Vehicle,1
21,21342,286652,36,743,Self-employed,Single,Rural,4,Home,0
37,78597,1057876,84,585,Salaried,Single,Rural,0,Education,0
41,129672,343062,36,838,Business,Single,Rural,5,Business,0
49,88335,294933,84,625,Salaried,Married,Urban,3,Education,0
51,128556,1460729,60,507,Salaried,Single,Rural,1,Home,0
58,144530,1293160,240,674,Salaried,Married,Semiurban,4,Home,0
29,144636,1123667,36,660,Salaried,Single,Urban,2,Home,0
54,169165,1284916,60,792,Business,Single,Urban,5,Business,0
45,56968,1270932,180,477,Salaried,Single,Semiurban,3,Vehicle,1
52,102052,605186,84,592,Salaried,Single,Semiurban,3,Vehicle,0
49,168217,1039730,36,705,Salaried,Single,Rural,5,Home,0
47,27393,1268388,180,450,Business,Married,Rural,4,Business,1
50,107352,861984,36,564,Business,Married,Semiurban,4,Personal,0
49,47890,304340,240,563,Salaried,Married,Rural,2,Personal,0
27,30000,444258,120,521,Business,Married,Urban,4,Business,1
46,74515,1058494,60,816,Salaried,Married,Urban,5,Personal,0
49,137901,1480883,180,708,Salaried,Married,Urban,5,Home,0
48,171385,1112781,180,849,Unemployed,Single,Semiurban,1,Business,0
59,176901,774955,180,646,Salaried,Single,Urban,2,Education,0
29,54223,965589,180,808,Business,Married,Rural,4,Education,0
34,70661,539799,180,815,Salaried,Married,Rural,1,Business,0
41,48252,838696,180,695,Self-employed,Married,Semiurban,4,Education,0
21,155030,323284,36,645,Salaried,Single,Urban,1,Education,0
30,34261,718954,60,835,Salaried,Married,Rural,0,Personal,0
35,165133,915554,60,711,Business,Married,Semiurban,0,Vehicle,0
41,162736,212831,36,830,Salaried,Married,Rural,5,Education,0
55,176174,512025,240,549,Salaried,Single,Rural,0,Business,0
53,49287,891042,36,669,Salaried,Married,Urban,4,Education,1
50,58581,183761,60,615,Self-employed,Married,Urban,4,Personal,1
41,155729,561293,60,716,Salaried,Single,Urban,4,Vehicle,0
35,73929,1491113,84,619,Salaried,Single,Rural,4,Personal,1
56,20307,340589,240,627,Salaried,Single,Rural,5,Education,1
28,119155,638109,180,820,Salaried,Married,Semiurban,4,Vehicle,0
39,68465,771744,180,492,Unemployed,Single,Rural,4,Personal,1
25,73255,1420187,60,800,Salaried,Single,Urban,5,Vehicle,0
30,24226,1063065,240,619,Salaried,Single,Urban,2,Personal,1
35,85803,954867,120,680,Self-employed,Married,Urban,3,Home,0
60,34577,1328109,36,808,Business,Married,Rural,0,Education,0
26,91798,1017873,120,652,Business,Single,Urban,4,Business,0
46,161058,718614,240,523,Salaried,Married,Rural,0,Personal,0
30,50305,187604,36,743,Self-employed,Single,Urban,5,Education,0
53,55343,437545,60,563,Self-employed,Married,Urban,1,Personal,0
56,138917,1451980,180,487,Salaried,Single,Urban,1,Personal,0
42,111621,368886,240,785,Salaried,Married,Semiurban,1,Education,0
42,179570,1482908,84,805,Self-employed,Married,Rural,3,Business,1
36,76071,1443935,120,591,Business,Single,Semiurban,2,Vehicle,0
40,145656,1256939,36,539,Self-employed,Single,Rural,1,Personal,0
25,37765,139070,180,773,Salaried,Married,Semiurban,1,Home,0
55,159473,1090073,240,846,Salaried,Married,Urban,4,Education,0
53,151801,289905,120,636,Salaried,Single,Rural,4,Business,0
29,134974,433913,60,739,Unemployed,Single,Semiurban,3,Education,1
52,78751,231829,84,639,Salaried,Single,Semiurban,2,Vehicle,0
50,30173,183686,240,615,Salaried,Married,Rural,2,Personal,0
45,113760,1332451,240,489,Salaried,Married,Rural,1,Personal,0
43,145627,1111058,180,453,Salaried,Single,Urban,1,Home,0
38,73447,415076,60,530,Salaried,Single,Semiurban,3,Education,0
51,143572,541878,180,532,Self-employed,Married,Urban,0,Business,0
31,53317,1420241,180,470,Business,Single,Urban,2,Business,0
57,22881,1487779,84,493,Salaried,Married,Rural,1,Business,1
